1 0
1.05 0
1.1 0
1.15 0.00890208
1.2 0.0844444
1.25 0.128114
1.3 0.157037
1.35 0.179161
1.4 0.194444
1.45 0.206522
1.5 0.216889
1.55 0.247253
1.6 0.272281
1.65 0.291614
1.7 0.307826
1.75 0.321772
1.8 0.333333
1.85 0.343146
1.9 0.352258
1.95 0.359741
2 0.366857
2.05 0.347152
2.1 0.344274
2.15 0.355563
2.2 0.373643
2.25 0.389745
2.3 0.404539
2.35 0.418617
2.4 0.431111
2.45 0.442627
2.5 0.453576
2.55 0.4635
2.6 0.472994
2.65 0.481635
2.7 0.489735
2.75 0.482766
2.8 0.479602
2.85 0.479513
2.9 0.479624
2.95 0.47954
3 0.479467
3.05 0.476207
3.1 0.472821
3.15 0.469641
3.2 0.466667
3.25 0.463714
3.3 0.460952
3.35 0.458203
3.4 0.455479
3.45 0.453066
3.5 0.450519
