0 0
0.05 0
0.1 0.0008576
0.15 0.0025728
0.2 0.0051456
0.25 0.0094336
0.3 0.0154368
0.35 0.0240128
0.4 0.0360192
0.45 0.0497408
0.5 0.0634624
0.55 0.0780416
0.6 0.0917632
0.65 0.105485
0.7 0.119206
0.75 0.132928
0.8 0.147507
0.85 0.161229
0.9 0.17495
0.95 0.188672
1 0.203251
1.05 0.216973
1.1 0.230694
1.15 0.244416
1.2 0.258138
1.25 0.272717
1.3 0.286438
1.35 0.292442
1.4 0.292442
1.45 0.292442
1.5 0.292442
1.55 0.292442
1.6 0.292442
1.65 0.292442
1.7 0.295014
1.75 0.297587
1.8 0.299315
1.85 0.300173
1.9 0.302515
1.95 0.306573
2 0.308915
2.05 0.309773
2.1 0.319373
2.15 0.319373
2.2 0.322573
2.25 0.334515
2.3 0.341773
2.35 0.341773
2.4 0.3552
2.45 0.3552
2.5 0.367834
2.55 0.472627
2.6 0.4752
2.65 0.488922
2.7 0.502643
2.75 0.516365
2.8 0.530944
2.85 0.544666
2.9 0.558387
2.95 0.572109
3 0.58583
3.05 0.60041
3.1 0.614131
3.15 0.627853
3.2 0.641574
3.25 0.656154
3.3 0.669875
3.35 0.683597
3.4 0.697318
3.45 0.71104
3.5 0.725619
3.55 0.739341
3.6 0.753062
3.65 0.766784
3.7 0.781363
3.75 0.795085
3.8 0.808806
3.85 0.822528
3.9 0.83625
3.95 0.850829
4 0.86455
4.05 0.878272
4.1 0.891994
4.15 0.906573
4.2 0.920294
4.25 0.934016
4.3 0.947738
4.35 0.961459
4.4 0.976038
4.45 0.98976
4.5 1.00348
4.55 1.0172
4.6 1.03092
4.65 1.0455
4.7 1.05923
4.75 1.07295
4.8 1.08667
4.85 1.10125
4.9 1.11497
4.95 1.12869
5 1.14241
